Omega RDXL6SD-USB Serial No. 0102-01540 - Sampled Data
Date:,2020-04-09

Time,Sample No.,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Cold Junction 1,Cold Junction 2,Cold Junction 3,Cold Junction 4,Voltage 1,Voltage 2,Voltage 3,Voltage 4,Resistance 5,Resistance 6,
,,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,mV,mV,mV,mV,Ω,Ω,
2020-04-09 18:20:29,0, 110.9, 106.0, 105.6, 100.7,High,High,  78.5,  79.1,  79.7,  79.7,0.7331,0.6194,0.5968,0.4805,High,High,
2020-04-09 18:22:29,1, 114.8, 110.3, 110.0, 105.6,High,High,  79.4,  80.6,  81.3,  81.5,0.8009,0.6867,0.6632,0.5537,High,High,
2020-04-09 18:24:29,2, 118.4, 113.7, 113.8, 109.5,High,High,  80.1,  81.1,  82.0,  82.4,0.8677,0.7530,0.7350,0.6262,High,High,
2020-04-09 18:26:29,3, 122.0, 117.1, 117.4, 113.2,High,High,  80.6,  81.6,  82.5,  82.9,0.9388,0.8236,0.8099,0.6984,High,High,
2020-04-09 18:28:29,4, 125.5, 120.5, 121.0, 116.5,High,High,  80.9,  81.9,  82.8,  83.2,1.0113,0.8936,0.8863,0.7702,High,High,
2020-04-09 18:30:29,5, 129.2, 124.2, 124.5, 120.0,High,High,  81.3,  82.3,  83.2,  83.7,1.0864,0.9748,0.9602,0.8432,High,High,
2020-04-09 18:32:29,6, 132.5, 127.5, 127.8, 123.2,High,High,  81.6,  82.6,  83.5,  83.9,1.1592,1.0483,1.0350,0.9134,High,High,
2020-04-09 18:34:29,7, 136.0, 130.8, 131.1, 126.5,High,High,  81.9,  82.9,  83.7,  84.1,1.2337,1.1214,1.1097,0.9879,High,High,
2020-04-09 18:36:29,8, 139.7, 134.4, 134.6, 129.7,High,High,  82.1,  83.0,  84.0,  84.3,1.3123,1.2039,1.1892,1.0638,High,High,
2020-04-09 18:38:29,9, 143.1, 138.0, 137.9, 133.0,High,High,  82.1,  83.3,  84.1,  84.4,1.3907,1.2859,1.2658,1.1390,High,High,
2020-04-09 18:40:29,10, 146.6, 140.9, 141.3, 136.1,High,High,  82.4,  83.3,  84.2,  84.6,1.4675,1.3560,1.3459,1.2101,High,High,
2020-04-09 18:42:29,11, 150.3, 144.4, 144.8, 139.4,High,High,  82.5,  83.5,  84.3,  84.6,1.5470,1.4380,1.4248,1.2891,High,High,
2020-04-09 18:44:29,12, 153.7, 148.0, 148.0, 142.5,High,High,  82.6,  83.6,  84.4,  84.7,1.6234,1.5173,1.5021,1.3637,High,High,
2020-04-09 18:46:29,13, 157.1, 151.3, 151.4, 146.0,High,High,  82.7,  83.7,  84.5,  84.9,1.7026,1.5971,1.5813,1.4444,High,High,
